terms,pos,type,count
각오,Noun,임채진,2
각오,Noun,정상명,1
각오,Noun,채동욱,2
각자,Noun,김준규,1
각자,Noun,김진태,1
각자,Noun,문무일,2
각자,Noun,채동욱,2
각종,Noun,김수남,2
각종,Noun,김진태,1
각종,Noun,임채진,1
각층,Noun,채동욱,1
간,Foreign,김수남,1
간,Foreign,윤석열,1
간,Noun,문무일,1
간,Suffix,김진태,1
간,Suffix,정상명,1
간,Suffix,채동욱,3
간곡히,Adverb,임채진,1
간곡히,Adverb,정상명,1
간도,Noun,김준규,1
간략하게,Adjective,문무일,1
간명,Noun,문무일,1
간부,Noun,김수남,1
간섭,Noun,김종빈,2
간의,Foreign,김준규,1
간절한,Adjective,김진태,1
간절히,Adjective,임채진,1
갈,Verb,문무일,1
갈,Verb,정상명,1
갈,Verb,채동욱,1
갈등,Noun,김종빈,1
갈등,Noun,김준규,1
갈등,Noun,김진태,1
갈망,Noun,정상명,1
갈수록,Noun,김진태,1
감,Noun,정상명,1
감독,Noun,김진태,1
감동,Noun,문무일,1
감사,Noun,김수남,1
감사,Noun,김준규,2
감사,Noun,김진태,1
감사,Noun,문무일,1
감사,Noun,윤석열,2
감사,Noun,임채진,1
감사,Noun,정상명,1
감사합니다,Verb,김수남,1
감사합니다,Verb,김종빈,1
감사합니다,Verb,김준규,1
감사합니다,Verb,김진태,1
감사합니다,Verb,문무일,1
감사합니다,Verb,윤석열,1
감사합니다,Verb,임채진,1
감사합니다,Verb,정상명,1
감사합니다,Verb,채동욱,1
감사합니다,Verb,한상대,1
감싸주길,Verb,김종빈,1
감찰,Noun,김종빈,2
감찰,Noun,문무일,1
감찰,Noun,채동욱,3
감찰,Noun,한상대,2
감회,Noun,김준규,1
감회,Noun,김진태,1
감히,Noun,김종빈,1
감히,Noun,채동욱,1
갑시다,Verb,문무일,1
갑작스레,Noun,김준규,1
강,Noun,김수남,3
강,Noun,김종빈,2
강,Noun,윤석열,1
강,Noun,임채진,1
강구,Noun,김수남,1
강국,Noun,한상대,1
강도,Noun,김수남,1
강력범죄,Noun,김수남,1
강력범죄,Noun,채동욱,1
강력하게,Adjective,김수남,1
강력하게,Adjective,김준규,1
강력한,Adjective,윤석열,2
강력한,Adjective,채동욱,1
강력한,Adjective,한상대,1
강력히,Adjective,윤석열,1
강령,Noun,정상명,1
강물,Noun,한상대,1
강인한,Adjective,임채진,1
강조,Noun,김수남,4
강조,Noun,김종빈,1
강조,Noun,윤석열,2
강조,Noun,정상명,1
강조,Noun,채동욱,2
강하다,Adjective,임채진,1
강하다는,Adjective,임채진,1
강하면,Adjective,김수남,1
강한,Adjective,김수남,2
강한,Adjective,임채진,2
강한,Adjective,정상명,1
