terms,pos,type,count
가진,Verb,김경한,1
가진,Verb,김성호,1
가질,Verb,김승규,1
가치,Noun,김승규,2
가치,Noun,박상기,1
가치,Noun,황교안,2
가호,Noun,천정배,1
각,Modifier,김승규,1
각,Noun,김경한,2
각,Noun,김승규,2
각계,Noun,김현웅,1
각고,Noun,김승규,1
각기,Noun,김경한,1
각오,Noun,조국,1
각자,Noun,권재진,1
각자,Noun,김현웅,1
각자,Noun,조국,1
각자,Noun,황교안,1
각지,Noun,김현웅,1
간,Foreign,김성호,1
간,Foreign,김현웅,1
간격,Noun,김경한,1
간곡히,Adverb,김현웅,1
간곡히,Adverb,조국,1
간다,Noun,강금실,3
간다,Noun,김현웅,1
간부,Noun,조국,1
간에,Foreign,김경한,1
간의,Foreign,김성호,1
간의,Noun,박상기,1
간절히,Adjective,김경한,1
간절히,Adjective,조국,1
간직,Noun,천정배,1
간혹,Noun,김성호,1
갈,Verb,강금실,1
갈,Verb,김승규,1
갈등,Noun,강금실,3
갈등,Noun,황교안,1
갈려도,Verb,김성호,1
갈리,Noun,김성호,1
감,Noun,김경한,1
감,Noun,박상기,1
감내하는,Verb,조국,1
감당,Noun,조국,1
감명,Noun,김승규,1
감사,Noun,강금실,7
감사,Noun,김경한,1
감사,Noun,김성호,1
감사,Noun,김승규,1
감사,Noun,김현웅,2
감사,Noun,박상기,2
감사,Noun,이귀남,1
감사,Noun,조국,1
감사,Noun,황교안,3
감사하고,Verb,김경한,1
감사하는,Verb,정성진,1
감사하다는,Verb,천정배,1
감사할,Verb,김경한,1
감사합니다,Verb,강금실,1
감사합니다,Verb,김성호,1
감사합니다,Verb,김승규,1
감사합니다,Verb,박상기,1
감사합니다,Verb,정성진,1
감사합니다,Verb,조국,1
감사합니다,Verb,천정배,1
감사합니다,Verb,황교안,1
감사했습니다,Verb,정성진,1
감상,Noun,정성진,1
감싸고,Verb,김경한,1
감액,Noun,김경한,1
감염,Noun,황교안,2
감정,Noun,김성호,1
감회,Noun,강금실,2
강력한,Adjective,조국,1
강력한,Adjective,천정배,1
강제,Noun,박상기,1
강조,Noun,김성호,1
강조,Noun,김승규,1
강조,Noun,박상기,1
강조,Noun,천정배,4
강화,Noun,박상기,1
강화,Noun,정성진,2
강화,Noun,황교안,1
강화하였고,Adjective,천정배,1
갖고,Verb,강금실,1
갖고,Verb,이귀남,1
갖고,Verb,황교안,1
갖추고,Verb,황교안,1
갖추신,Verb,정성진,1
같던,Adjective,김성호,1
같습니다,Adjective,강금실,2
같습니다,Adjective,권재진,1
같습니다,Adjective,조국,1
같습니다,Adjective,천정배,1
같은,Adjective,강금실,2
같은,Adjective,권재진,1
같은,Adjective,김성호,1
같이,Adverb,강금실,4
같이,Adverb,김성호,4
같이,Adverb,김승규,1
같이,Adverb,박상기,2
같이,Adverb,이귀남,2
개,Noun,김경한,1
개,Noun,김성호,1
개,Noun,황교안,1
개국,Noun,김경한,1
개발,Noun,김경한,1
개선,Noun,김경한,1
개선,Noun,김승규,2
개선,Noun,박상기,1
개선,Noun,천정배,4
개선,Noun,황교안,1
개월,Noun,강금실,1
개월,Noun,김경한,2
개월,Noun,김승규,1
개월,Noun,김현웅,1
개월,Noun,황교안,1
개인,Noun,조국,1
개인,Noun,천정배,1
개인,Noun,황교안,1
개정,Noun,조국,1
개정,Noun,천정배,1
개혁,Noun,강금실,10
개혁,Noun,김승규,2
개혁,Noun,김현웅,1
개혁,Noun,박상기,3
개혁,Noun,조국,16
개혁,Noun,천정배,1
개혁,Noun,황교안,2
객관,Noun,김승규,1
거나,Noun,김경한,1
거나,Noun,김성호,5
거나,Noun,황교안,1
거대,Noun,천정배,2
거두었습니다,Verb,천정배,1
거듭,Noun,김경한,3
거듭,Noun,박상기,1
거듭,Noun,천정배,1
거론,Noun,강금실,1
거리,Noun,김승규,1
거스,Noun,조국,1
거악,Noun,김성호,1
거쳐,Verb,김성호,1
걱정,Noun,김현웅,1
건강,Noun,조국,1
건강,Noun,황교안,1
건강하시고,Adjective,박상기,1
건강하시고,Adjective,천정배,1
건강히,Adjective,김성호,1
걷는,Verb,김성호,1
걸까,Verb,강금실,3
걸리지만,Verb,김경한,1
걸어,Verb,김성호,1
걸어,Verb,김승규,1
걸어,Verb,박상기,1
걸어왔는지,Verb,김성호,1
걸음,Noun,김성호,1
걸음,Noun,황교안,1
걸쳐,Verb,김경한,1
걸친,Verb,김경한,1
검,Noun,박상기,1
검사,Noun,강금실,2
검사,Noun,김성호,2
검사,Noun,김현웅,1
검찰,Noun,강금실,1
검찰,Noun,김경한,14
검찰,Noun,김성호,1
검찰,Noun,김승규,13
검찰,Noun,김현웅,7
검찰,Noun,박상기,14
검찰,Noun,이귀남,4
검찰,Noun,정성진,2
검찰,Noun,조국,16
검찰,Noun,천정배,6
검찰,Noun,황교안,3
검찰청,Noun,김경한,1
검찰청,Noun,박상기,1
검찰총장,Noun,김경한,1
검토,Noun,박상기,1
검토,Noun,천정배,1
겁니다,Verb,권재진,1
것,Noun,강금실,14
것,Noun,권재진,4
것,Noun,김경한,12
것,Noun,김성호,11
것,Noun,김승규,12
것,Noun,김현웅,1
것,Noun,박상기,3
것,Noun,이귀남,2
것,Noun,정성진,1
것,Noun,조국,7
것,Noun,천정배,13
것,Noun,황교안,4
게,Josa,김성호,2
게,Noun,강금실,2
게을리,Adverb,황교안,1
겨우,Noun,김경한,1
겨울,Noun,김현웅,1
겨울,Noun,정성진,1
격려,Noun,김현웅,1
겪기도,Verb,강금실,1
겪는,Verb,황교안,1
겪으면서,Verb,강금실,1
견,Noun,김성호,1
견디라고,Verb,조국,1
견제,Noun,박상기,1
견제,Noun,조국,1
결과,Noun,김승규,1
결과,Noun,정성진,1
결과,Noun,천정배,1
결과물,Noun,천정배,1
결국,Adverb,강금실,3
결단코,Adverb,천정배,1
결론,Noun,김성호,1
결실,Noun,김승규,1
결심,Noun,김성호,1
결심,Noun,김현웅,2
결점,Noun,강금실,1
결정,Noun,김승규,1
결정,Noun,황교안,2
결코,Noun,김성호,1
겸비,Noun,이귀남,1
겸손한,Adjective,박상기,1
겸손함을,Adjective,강금실,1
겸허,Noun,강금실,2
경,Modifier,박상기,1
경,Modifier,천정배,2
경,Modifier,황교안,2
경,Noun,강금실,1
경계,Noun,강금실,1
경우,Noun,김경한,1
경우,Noun,김승규,1
경우,Noun,박상기,1
경의,Noun,김현웅,1
경쟁,Noun,천정배,2
경제,Noun,김경한,2
경제,Noun,김성호,1
경제,Noun,천정배,3
경청,Noun,황교안,1
경향,Noun,김현웅,1
경험,Noun,김경한,1
경험,Noun,김성호,2
곁,Noun,권재진,1
곁,Noun,김경한,1
곁,Noun,김성호,1
곁,Noun,김승규,3
곁,Noun,정성진,1
곁,Noun,조국,3
곁,Noun,황교안,1
계기,Noun,천정배,1
계단,Noun,김경한,3
계속,Noun,김경한,2
계속,Noun,김성호,1
계속,Noun,천정배,1
계속,Noun,황교안,2
계시다고,Adjective,강금실,1
계신,Adjective,강금실,4
계십니다,Adjective,김현웅,1
계십시오,Adjective,권재진,1
계십시오,Adjective,김경한,1
계십시오,Adjective,김성호,1
계십시오,Adjective,김현웅,1
계십시오,Adjective,이귀남,1
계층,Noun,천정배,1
계획,Noun,조국,1
고,Josa,강금실,4
고,Josa,김경한,2
고,Josa,김성호,4
고,Josa,김승규,6
고,Josa,김현웅,1
고,Josa,박상기,1
고,Josa,정성진,1
고,Josa,천정배,2
고,Josa,황교안,2
고,Noun,김성호,1
고르라면,Verb,김성호,1
고마웠습니다,Adjective,김현웅,1
고마웠습니다,Adjective,천정배,1
고마웠습니다,Adjective,황교안,1
고맙습니다,Adjective,강금실,1
고맙습니다,Adjective,권재진,1
고무줄,Noun,천정배,1
고민,Noun,강금실,1
고민,Noun,김현웅,1
고민,Noun,조국,1
고생,Noun,강금실,1
고언,Noun,정성진,1
고위,Noun,박상기,1
고위,Noun,조국,1
고자,Noun,김성호,1
고자,Noun,정성진,2
고질,Noun,황교안,1
고치,Noun,김현웅,1
고통,Noun,강금실,1
고통,Noun,조국,1
고통,Noun,황교안,2
고통스러운,Adjective,조국,2
고통스러웠습니다,Adjective,조국,1
고통스럽고,Adjective,박상기,1
고품격,Noun,황교안,1
고하고자,Adjective,김경한,1
골고루,Adverb,황교안,1
골수,Noun,김성호,1
곳,Noun,김경한,2
곳,Noun,김성호,1
곳,Noun,김현웅,2
곳,Noun,천정배,1
공,Modifier,김경한,1
공,Modifier,천정배,1
공,Modifier,황교안,1
공간,Noun,권재진,1
공감,Noun,김경한,1
공감,Noun,황교안,2
공공,Noun,황교안,1
공기,Noun,김경한,1
공동체,Noun,강금실,1
공동체,Noun,황교안,1
공무원,Noun,김경한,1
공무원,Noun,김성호,2
공사,Noun,김성호,1
공소권,Noun,박상기,2
공적,Noun,김성호,1
공정,Noun,김성호,1
공정하고,Adjective,김성호,1
공정하고,Adjective,김현웅,1
공정하고,Adjective,박상기,1
공정하고,Adjective,정성진,1
공정하지,Adjective,김성호,1
공정한,Adjective,박상기,1
공정한,Adjective,천정배,3
공존,Noun,강금실,1
공직,Noun,김경한,2
공직,Noun,김성호,3
공직,Noun,김현웅,1
공직자,Noun,김경한,1
공직자,Noun,김성호,2
공직자,Noun,박상기,1
공직자,Noun,황교안,3
공평하게,Adjective,김성호,1
공표,Noun,박상기,1
과,Josa,강금실,5
과,Josa,권재진,4
과,Josa,김경한,10
과,Josa,김성호,16
과,Josa,김승규,17
과,Josa,김현웅,4
과,Josa,박상기,7
과,Josa,이귀남,6
과,Josa,정성진,5
과,Josa,조국,3
과,Josa,천정배,15
과,Josa,황교안,16
과,Noun,김승규,2
과거,Noun,김승규,1
과거,Noun,박상기,3
과거,Noun,이귀남,1
과거,Noun,천정배,1
과격한,Adjective,이귀남,1
과도,Josa,권재진,1
과도,Josa,천정배,1
과분,Noun,김경한,2
과분,Noun,정성진,1
과언,Noun,천정배,1
과업,Noun,김경한,1
과연,Noun,강금실,1
과연,Noun,김경한,1
과연,Noun,김현웅,1
과연,Noun,천정배,1
과의,Josa,김성호,1
과의,Josa,천정배,2
과잉수,Noun,박상기,1
과정,Noun,김경한,3
과정,Noun,박상기,3
과정,Noun,천정배,1
과정,Noun,황교안,1
과제,Noun,김경한,1
과제,Noun,박상기,2
과제,Noun,조국,2
관계,Noun,김승규,1
관계,Noun,박상기,1
관광,Noun,황교안,1
관련,Noun,김승규,2
관련,Noun,황교안,1
관성,Noun,황교안,1
관심,Noun,황교안,2
관점,Noun,김승규,2
관점,Noun,박상기,1
관점,Noun,천정배,1
관직,Noun,김경한,1
관행,Noun,박상기,1
관행,Noun,이귀남,2
관행,Noun,천정배,1
광복,Noun,황교안,1
굉장히,Adjective,강금실,7
교도소,Noun,김경한,1
교육,Noun,황교안,1
교정,Noun,김경한,1
교정,Noun,박상기,1
교차,Noun,김경한,1
교화,Noun,김경한,1
교황,Noun,김경한,1
교훈,Noun,김성호,1
구,Modifier,천정배,1
구분,Noun,김성호,1
구상,Noun,천정배,1
구속,Noun,천정배,1
구조,Noun,김경한,1
구조,Noun,천정배,1
구체,Noun,박상기,1
구체,Noun,황교안,1
구현,Noun,김경한,1
구현,Noun,박상기,1
구호,Noun,황교안,1
국,Noun,천정배,1
국가,Noun,김성호,4
국가,Noun,김승규,4
국가,Noun,김현웅,3
국가,Noun,박상기,1
국가,Noun,천정배,3
국가,Noun,황교안,3
국가경쟁력,Noun,정성진,1
국내외,Noun,천정배,1
국내외,Noun,황교안,1
국민,Noun,강금실,3
국민,Noun,김경한,2
국민,Noun,김성호,23
국민,Noun,김승규,7
국민,Noun,김현웅,5
국민,Noun,박상기,12
국민,Noun,이귀남,3
국민,Noun,정성진,2
국민,Noun,조국,8
국민,Noun,천정배,20
국민,Noun,황교안,21
국정,Noun,김승규,1
국정,Noun,김현웅,1
국정,Noun,박상기,1
국제,Noun,황교안,1
국회,Noun,박상기,1
국회의원,Noun,황교안,1
굳건,Adjective,김경한,1
굳건,Adjective,박상기,1
굳건,Adjective,황교안,1
굳게,Adjective,김경한,1
굳게,Adjective,김현웅,1
굳어지게,Verb,김현웅,1
굳이,Noun,강금실,1
궁극,Noun,강금실,1
권,Suffix,김승규,2
권,Suffix,박상기,2
권,Suffix,조국,1
권력,Noun,박상기,1
권력,Noun,천정배,2
권력관계,Noun,강금실,1
권리,Noun,천정배,2
권익,Noun,김성호,2
권재진,Noun,이귀남,1
권한,Noun,김성호,1
권한,Noun,박상기,2
권한,Noun,천정배,1
궤도,Noun,조국,1
귀,Modifier,강금실,1
귀,Noun,강금실,3
귀,Noun,정성진,1
귀,Noun,천정배,1
귀,Noun,황교안,1
균형,Noun,김승규,1
균형,Noun,박상기,2
균형,Noun,조국,1
그,Determiner,강금실,1
그,Noun,강금실,6
그,Noun,김경한,10
그,Noun,김성호,10
그,Noun,김승규,3
그,Noun,김현웅,5
그,Noun,박상기,3
그,Noun,이귀남,2
그,Noun,조국,1
그,Noun,천정배,4
그,Noun,황교안,5
그간,Noun,박상기,1
그간,Noun,황교안,1
그것,Noun,강금실,7
그것,Noun,김성호,3
그것,Noun,김승규,1
그것,Noun,박상기,1
그게,Noun,강금실,1
그날그날,Noun,김경한,1
그녀,Noun,황교안,1
그대로,Noun,천정배,1
그동안,Noun,권재진,1
그동안,Noun,김경한,1
그동안,Noun,김성호,1
그동안,Noun,김승규,3
그동안,Noun,이귀남,1
그동안,Noun,정성진,2
그동안,Noun,천정배,5
그동안,Noun,황교안,2
그때,Noun,천정배,1
그래서,Adverb,강금실,1
그래서,Adverb,김경한,3
그래서,Adverb,김승규,1
그래야만,Adjective,김경한,1
그러기에,Conjunction,김경한,1
그러나,Conjunction,김경한,3
그러나,Conjunction,김성호,2
그러나,Conjunction,김승규,2
그러나,Conjunction,조국,3
그러면서도,Adjective,김경한,1
그러므로,Conjunction,김경한,1
그러므로,Conjunction,김승규,1
그런,Adjective,강금실,1
그런,Adjective,김경한,1
그럴,Adjective,강금실,1
그렇게,Adverb,김경한,1
그렇게,Adverb,김성호,1
그렇습니다,Adjective,천정배,1
그렇지만,Conjunction,조국,1
그렇지만,Conjunction,천정배,2
그리고,Conjunction,강금실,2
그리고,Conjunction,권재진,1
그리고,Conjunction,김경한,2
그리고,Conjunction,김성호,4
그리고,Conjunction,김승규,2
그리고,Conjunction,김현웅,1
그리고,Conjunction,박상기,1
그리고,Conjunction,정성진,1
그리고,Conjunction,천정배,3
그리워질,Adjective,권재진,1
그야말로,Adverb,김경한,1
그저,Adverb,조국,1
극복,Noun,강금실,1
극복,Noun,황교안,4
근간,Noun,김현웅,1
근거,Noun,박상기,1
근무,Noun,김성호,1
근무,Noun,김현웅,1
근절,Noun,천정배,1
금년,Noun,김경한,1
금도,Noun,김경한,1
금액,Noun,김경한,1
급격히,Adjective,김경한,1
급기야,Adverb,김경한,1
긍정,Noun,김경한,1
긍지,Noun,김경한,1
기,Modifier,김성호,1
기,Modifier,황교안,1
기간,Noun,강금실,1
기간,Noun,권재진,1
기간,Noun,박상기,1
기간,Noun,이귀남,1
기간,Noun,정성진,1
기간,Noun,천정배,2
기개,Noun,김성호,1
기관,Noun,박상기,8
기관,Noun,천정배,1
기금,Noun,황교안,1
기기,Noun,강금실,1
기대하고,Adjective,김성호,1
기대하고,Adjective,천정배,1
기대합니다,Adjective,천정배,1
기도,Noun,김경한,2
기도,Noun,황교안,1
기를,Verb,김승규,1
기만,Noun,김성호,1
기반,Noun,천정배,1
기본,Noun,김승규,1
기본,Noun,천정배,2
기분,Noun,천정배,1
기쁘게,Adjective,강금실,1
기쁘고,Adjective,김경한,1
기쁜,Adjective,강금실,1
기쁜,Adjective,김승규,1
기쁨,Noun,김경한,1
기쁩니다,Adjective,강금실,1
기소,Noun,김승규,2
기소,Noun,박상기,1
기아,Noun,황교안,1
기약,Noun,천정배,1
기억,Noun,강금실,1
기억,Noun,권재진,1
기억,Noun,김성호,1
기억,Noun,김승규,1
기억,Noun,김현웅,1
기억,Noun,천정배,2
기업,Noun,김경한,1
기업,Noun,김성호,3
기업,Noun,천정배,1
기업인,Noun,김성호,1
기업인,Noun,천정배,1
기여,Noun,김성호,1
기여,Noun,이귀남,1
기여,Noun,정성진,1
기여,Noun,황교안,1
기와,Noun,강금실,1
기울어서는,Verb,김승규,1
기울여,Verb,정성진,1
기울여,Verb,황교안,1
기울여야,Verb,김경한,1
기울였습니다,Verb,김경한,1
기울였습니다,Verb,천정배,2
기울이고,Verb,천정배,1
기울이고,Verb,황교안,2
기원,Noun,김승규,2
기원,Noun,정성진,1
기원,Noun,천정배,1
기원,Noun,황교안,1
기전,Noun,강금실,1
기조,Noun,박상기,1
기존,Noun,김승규,1
기존,Noun,박상기,1
기준,Noun,김경한,1
기준,Noun,김성호,1
기준,Noun,천정배,2
기초,Noun,조국,1
기필코,Noun,김경한,1
기필코,Noun,조국,1
기회,Noun,김경한,1
긴,Verb,강금실,1
긴,Verb,김경한,1
길,Noun,강금실,4
길,Noun,김성호,2
길,Noun,김승규,1
길,Noun,김현웅,1
길,Noun,박상기,1
길,Noun,이귀남,1
길,Noun,황교안,1
길은,Adjective,김경한,1
길은,Adjective,천정배,1
길이,Noun,강금실,2
길이,Noun,김성호,1
길이,Noun,김승규,1
길이,Noun,조국,1
길일,Noun,박상기,1
길지,Adjective,김성호,1
길지,Adjective,김승규,1
길지,Adjective,정성진,1
김경,Noun,정성진,1
깊습니다,Adjective,강금실,1
깊었습니다,Adjective,강금실,1
깊은,Adjective,강금실,2
깊은,Adjective,김승규,1
깊은,Adjective,김현웅,1
깊은,Adjective,정성진,1
깊은,Adjective,황교안,1
깊이,Noun,강금실,2
깊이,Noun,김현웅,1
깊이,Noun,박상기,1
깊이,Noun,이귀남,1
깊이,Noun,정성진,1
깊이,Noun,조국,1
깊이,Noun,천정배,1
까지,Josa,강금실,1
까지,Josa,김경한,1
까지,Josa,조국,3
까지,Josa,황교안,2
까지나,Josa,김성호,1
까지는,Josa,이귀남,1
깨끗한,Adjective,천정배,1
깨끗함을,Adjective,김성호,1
깨우쳐,Verb,강금실,1
깨우침,Noun,강금실,1
깨워,Verb,강금실,1
꺾지,Verb,김성호,1
께,Josa,강금실,4
께,Josa,권재진,1
께,Josa,김승규,3
께,Josa,김현웅,2
께,Josa,박상기,3
께,Josa,이귀남,1
께,Josa,정성진,1
께,Josa,조국,4
께,Josa,천정배,2
께,Josa,황교안,1
께서,Josa,강금실,2
께서,Josa,김현웅,1
께서,Josa,박상기,1
께서,Josa,조국,1
께서는,Josa,김현웅,1
께서는,Josa,정성진,1
께서는,Josa,조국,1
꼬박,Noun,김성호,1
꽃,Noun,정성진,1
꾼,Suffix,김성호,1
꿈,Noun,김성호,1
끊는,Verb,김경한,1
끊임없이,Adjective,김승규,1
끊임없이,Adjective,이귀남,1
끊임없이,Adjective,정성진,1
끊임없이,Adjective,천정배,1
끝,Noun,강금실,1
끝,Noun,김현웅,1
끝,Noun,정성진,1
끝,Noun,천정배,1
끝없는,Adjective,정성진,1
나,Josa,김성호,1
나,Josa,김승규,1
나,Josa,박상기,1
나,Josa,이귀남,1
나가고,Verb,김경한,1
나가고,Verb,황교안,1
나가기,Verb,김현웅,1
나가는,Verb,강금실,1
나가는,Verb,김경한,2
나가는,Verb,김승규,1
나가서도,Verb,강금실,1
나가야,Noun,황교안,1
나갈,Verb,강금실,1
나갈,Verb,김승규,1
나갔습니다,Verb,황교안,1
나기,Noun,박상기,1
나날,Noun,김성호,1
나누고,Verb,강금실,1
나누고,Verb,김성호,1
나누고자,Verb,황교안,1
나누기,Noun,강금실,1
