terms,pos,type,count
甲午更張,Foreign,2014,1
癸巳年,Foreign,2013,1
耕野足矣,Foreign,2013,1
臣臣,Foreign,2007,1
至誠而不動者,Foreign,2014,1
誠者物之終始,Foreign,2015,1
雲外蒼天,Foreign,2017,1
靑羊,Foreign,2015,1
馬,Foreign,2014,1
가,Josa,2005,4
가,Josa,2006,14
가,Josa,2007,15
가,Josa,2008,10
가,Josa,2009,11
가,Josa,2010,4
가,Josa,2011,7
가,Josa,2012,13
가,Josa,2013,12
가,Josa,2014,16
가,Josa,2015,19
가,Josa,2016,10
가,Josa,2017,23
가,Josa,2018,12
가,Josa,2019,10
가,Josa,2020,4
가,Verb,2008,1
가,Verb,2010,2
가,Verb,2012,2
가급적,Adverb,2009,1
가까이,Noun,2005,1
가난하면,Adjective,2017,1
가는,Verb,2009,1
가늠,Noun,2012,1
가능성,Noun,2007,1
가능성,Noun,2013,1
가능하도록,Adjective,2008,1
가능하도록,Adjective,2016,1
가다듬는,Verb,2008,1
가득,Noun,2010,1
가득하기,Adjective,2017,1
가득하기를,Adjective,2008,1
가득하기를,Adjective,2009,1
가득하기를,Adjective,2015,1
가득하기를,Adjective,2016,1
가득하기를,Adjective,2019,1
가득하기를,Adjective,2020,1
가득하길,Adjective,2005,1
가득하길,Adjective,2007,1
가득하길,Adjective,2015,1
가득하시,Adjective,2009,1
가득하시고,Adjective,2005,1
가려,Verb,2005,1
가려야,Verb,2014,1
가로놓여,Verb,2014,1
가로막,Noun,2011,1
가로막,Noun,2015,1
가르침,Noun,2016,1
가를,Verb,2012,1
가리어,Verb,2010,1
가릴,Verb,2015,1
가볍게,Adjective,2011,1
가슴,Noun,2007,2
가슴,Noun,2008,1
가슴,Noun,2012,1
가슴,Noun,2013,2
가슴,Noun,2015,1
가슴,Noun,2016,1
가슴,Noun,2020,1
가운데,Noun,2013,1
가운데,Noun,2014,1
가운데,Noun,2015,2
가운데,Noun,2018,1
가운데,Noun,2019,1
가운데,Noun,2020,1
가장,Noun,2009,1
가장,Noun,2012,1
가장,Noun,2013,1
가장,Noun,2014,3
가장,Noun,2016,1
가장,Noun,2017,2
가장,Noun,2019,1
가장,Noun,2020,1
가정,Noun,2005,2
가정,Noun,2007,1
가정,Noun,2008,2
가정,Noun,2010,1
가정,Noun,2011,2
가정,Noun,2015,1
가정,Noun,2016,1
가정,Noun,2017,1
가정,Noun,2018,1
가정,Noun,2019,2
가정,Noun,2020,1
가정폭력,Noun,2014,1
가져야,Verb,2017,1
가져야,Verb,2018,1
가져오는,Verb,2016,1
가족,Noun,2005,2
가족,Noun,2006,4
가족,Noun,2007,3
가족,Noun,2008,3
가족,Noun,2009,5
가족,Noun,2010,1
가족,Noun,2012,4
가족,Noun,2013,1
가족,Noun,2014,1
가족,Noun,2015,2
가족,Noun,2016,5
가족,Noun,2017,5
가족,Noun,2018,5
가족,Noun,2019,2
가족,Noun,2020,3
가중,Noun,2014,1
가중,Noun,2015,1
가중,Noun,2016,1
가지,Noun,2006,2
가지,Noun,2007,1
가지,Noun,2008,1
가지,Noun,2009,1
가지,Noun,2012,2
가지,Noun,2013,1
가지,Noun,2014,1
가지,Noun,2015,1
가지,Noun,2016,2
가지,Noun,2017,1
가지,Noun,2019,2
가지,Noun,2020,1
가진,Verb,2009,2
가진,Verb,2015,2
가진,Verb,2016,1
가진다는,Verb,2007,1
가질,Verb,2006,1
가집시다,Verb,2015,1
가짜,Noun,2010,1
가차,Noun,2009,1
가치,Noun,2007,2
가치,Noun,2014,1
가치,Noun,2015,1
가치,Noun,2016,2
가치,Noun,2017,2
가치,Noun,2018,1
가치,Noun,2019,5
가치,Noun,2020,1
가치관,Noun,2013,1
가함으로써,Verb,2007,1
가해야,Verb,2009,1
각,Modifier,2010,1
각,Modifier,2012,1
각,Modifier,2014,1
각,Noun,2005,1
각,Noun,2006,1
각,Noun,2012,1
각,Noun,2016,1
각국,Noun,2011,1
각국,Noun,2012,1
각별,Noun,2019,1
각별히,Adverb,2009,1
각오,Noun,2009,1
각오,Noun,2011,1
각오,Noun,2013,2
각오,Noun,2014,2
각오,Noun,2015,1
각오,Noun,2017,2
각인,Noun,2020,1
각자,Noun,2005,1
각자,Noun,2006,1
각자,Noun,2012,1
각자,Noun,2015,2
각자,Noun,2016,3
각자,Noun,2019,1
각자,Noun,2020,1
각종,Noun,2005,1
각종,Noun,2006,1
각종,Noun,2009,1
각종,Noun,2012,1
각종,Noun,2014,3
각종,Noun,2016,2
각종,Noun,2017,1
각종,Noun,2018,1
간,Foreign,2013,1
